preset,instance,q,dimension,samples,eta,row_weight,best_feasible_log2_work,status,warnings,attack,log2_work,log2_memory,feasible,model,attack_note
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,clean_subset_linear_solve,27.721699970391732,18.0,True,expected trials 1/(1-eta)^n plus polynomial linear algebra,clean-subset trial exponent without linear-algebra overhead is 0.7217 bits; dominant red flag when correctness forces eta to be tiny
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,low_weight_structural_warning,45.00563003121411,18.005630031214107,True,hypergraph/low-weight sparse-LPN structural screen,"row_weight=3 is very small; sparse-LPN security normally requires careful asymptotic growth; average coordinate incidence is 1542.01; this is a red-flag screen, not a fully modeled attack"
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,direct_secret_enumeration,8192.011270969017,0.0,True,try all q^n secrets and score against samples,baseline upper bound on brute-force work
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,prange_isd,43.72523343132312,18.0,True,"Prange clean-information-set probability C(m-t,n)/C(m,n)",uses t=ceil(eta*m)=258 errors for m=263169 samples; modern ISD variants can be substantially faster; use as baseline only
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,modern_isd_floor_screen,14211.126,,True,screening-only floor: 0.054 * code length,"heuristic red-flag floor inspired by modern binary ISD asymptotics; not a certified estimate for q-ary, sparse, low-noise, or non-random regimes; q != 2: interpret only as a rough screening number"
candidate_depth1_rough,sparse_lpn_expansion_key,65537,512,263169,0.0009765625,3,27.721699970391732,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension; very small sparse row weight; use only for tests unless justified by a proof/estimator,bkw_proxy,516.0007044355635,512.0007044355635,False,block BKW proxy with binary-projection bias,"best block=32, levels=16; available log2(samples)=18.01; screened required log2(samples)=885.69; sample-limited means this particular BKW proxy is not directly enabled by the public samples"
candidate_depth1_rough,code_lpn_compaction_key,65537,512,2101248,6.103515625e-05,,27.045085595944972,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension,clean_subset_linear_solve,27.045085595944972,18.0,True,expected trials 1/(1-eta)^n plus polynomial linear algebra,clean-subset trial exponent without linear-algebra overhead is 0.04509 bits; dominant red flag when correctness forces eta to be tiny
candidate_depth1_rough,code_lpn_compaction_key,65537,512,2101248,6.103515625e-05,,27.045085595944972,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension,direct_secret_enumeration,8192.011270969017,0.0,True,try all q^n secrets and score against samples,baseline upper bound on brute-force work
candidate_depth1_rough,code_lpn_compaction_key,65537,512,2101248,6.103515625e-05,,27.045085595944972,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension,prange_isd,43.045376789221024,18.0,True,"Prange clean-information-set probability C(m-t,n)/C(m,n)",uses t=ceil(eta*m)=129 errors for m=2101248 samples; modern ISD variants can be substantially faster; use as baseline only
candidate_depth1_rough,code_lpn_compaction_key,65537,512,2101248,6.103515625e-05,,27.045085595944972,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension,modern_isd_floor_screen,113467.39199999999,,True,screening-only floor: 0.054 * code length,"heuristic red-flag floor inspired by modern binary ISD asymptotics; not a certified estimate for q-ary, sparse, low-noise, or non-random regimes; q != 2: interpret only as a rough screening number"
candidate_depth1_rough,code_lpn_compaction_key,65537,512,2101248,6.103515625e-05,,27.045085595944972,toy/broken-screen,public/evaluation key exposes at least as many samples as the secret dimension,bkw_proxy,420.32250044878276,416.0005723538954,False,block BKW proxy with binary-projection bias,"best block=26, levels=20; available log2(samples)=21.00; screened required log2(samples)=789.67; sample-limited means this particular BKW proxy is not directly enabled by the public samples"
